name,Midterm,Final
Graiden Odom,17,25
Emerald Farley,92,66
Brady Arnold,36,49
Warren Norton,19,9
Avram Pierce,11,22
Brooke Rush,62,14
Cade Atkinson,66,86
Zoe Case,84,74
Oren Sweet,59,91
Gabriel Frye,12,18
Fritz Guerrero,3,60
Myles Benson,10,14
John Weiss,97,92
Russell Miller,23,72
Shoshana Andrews,96,20
Alisa Hubbard,1,76
Kiara Skinner,50,50
Wing Chang,63,91
Fleur Donovan,22,99
Ciara Cote,68,94
Cheyenne Reid,22,83
Shelly Rogers,72,22
Sigourney Nielsen,85,75
Tucker Summers,4,30
Lenore Montgomery,41,16
Elizabeth Bush,9,2
Maya Kline,74,99
Keegan Sanders,20,38
Indira Mclean,38,23
Shelley Miranda,45,64
Drake Santana,33,66
Kelsie Pratt,10,32
Tallulah Hoffman,88,94
Rosalyn Parrish,92,52
Hayfa Glover,8,25
Perry Quinn,40,14
Audra Richard,49,63
Hashim Prince,67,87
Colette Blake,29,29
Aquila Dean,51,78
Ali Kemp,48,36
Sierra Hudson,44,78
Tashya Ward,91,55
Hayes Alvarado,65,25
Hadley Hahn,93,4
Faith Beck,27,86
Murphy Black,72,69
Buffy Pace,5,53
Alvin Williams,1,63
Lareina Benson,9,12
Brenda Bolton,3,62
Shannon Rosario,39,99
Cole Head,44,1
Graiden Bowers,60,0
Rebecca Hendrix,65,79
Merritt English,34,74
Arsenio Weber,73,26
Aphrodite Cervantes,75,68
Derek Simon,15,81
Honorato Barron,11,4
Kellie Clay,86,83
Shaeleigh Walker,83,10
Amos Robbins,95,19
Griffith Clayton,10,87
Aimee Mccoy,14,10
Igor Sharpe,34,12
Eugenia Pace,74,43
Zeus Garcia,32,65
Josiah Lancaster,84,94
Tana Mitchell,55,95
Conan Henderson,97,96
Madaline Yates,14,9
Libby Hanson,55,21
Preston Middleton,75,20
Brittany Whitfield,70,43
Sade Rocha,87,61
Chaim Holloway,37,96
Joshua Cox,37,23
Ayanna Wheeler,94,11
Palmer Rivas,28,57
Catherine Guerrero,15,34
Ralph Hooper,15,80
Yasir Francis,19,67
Leigh Griffin,5,71
Nell Brown,76,58
Emmanuel Pratt,28,75
Cara Lindsay,78,91
Unity Gonzales,10,93
Carlos Sutton,89,43
Sopoline Mclaughlin,28,83
Wade Hartman,88,85
Matthew Colon,9,90
Kerry Boyd,33,37
Daquan Bradshaw,72,58
Naomi Carroll,94,17
Grady Hess,68,52
Edward Goodman,65,78
Laurel O'Neill,73,13
Nissim Reed,96,80
Octavia Richards,0,33
